City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1337610,Thinadhoo,MV,0.5333,72.9333,83.25,69,98,15.64
6185377,Yellowknife,CA,62.456,-114.3525,24.67,100,90,4.61
4035715,Avarua,CK,-21.2078,-159.775,73.45,73,20,6.91
2138285,Tadine,NC,-21.55,167.8833,71.82,66,19,5.93
5848280,Kapaa,US,22.0752,-159.319,73.58,78,1,1.01
4030556,Rikitea,PF,-23.1203,-134.9692,75.16,76,100,10.96
964432,Port Alfred,ZA,-33.5906,26.891,62.37,91,100,13.44
967106,Oudtshoorn,ZA,-33.5907,22.2014,55.35,90,100,4.27
6170031,Tuktoyaktuk,CA,69.4541,-133.0374,11.8,96,81,4.97
3874787,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,17.27
5106841,Albany,US,42.6001,-73.9662,34.79,79,0,4.7
4020109,Atuona,PF,-9.8,-139.0333,78.04,74,11,16.11
3351014,Camacupa,AO,-12.0167,17.4833,86.63,37,99,1.81
6201424,Mataura,NZ,-46.1927,168.8643,60.48,73,100,1.3
2641598,Newport,GB,51.5877,-2.9984,48.02,91,100,5.66
1015776,Bredasdorp,ZA,-34.5322,20.0403,66.27,49,38,12.41
2218840,Bani Walid,LY,31.7566,13.9942,83.03,19,77,12.01
5282297,Bethel,US,41.3712,-73.414,40.78,71,88,4.9
3893726,Constitución,CL,-35.3333,-72.4167,53.94,79,7,7.29
2316259,Bulungu,CD,-4.55,18.6,87.64,56,99,2.86
6096551,Pangnirtung,CA,66.1451,-65.7125,6.37,74,15,6.6
3369157,Cape Town,ZA,-33.9258,18.4232,68.52,55,68,5.01
3430863,Mar del Plata,AR,-38.0023,-57.5575,58.08,100,59,4.0
1214488,Meulaboh,ID,4.1363,96.1285,74.93,93,100,4.32
2206939,Bluff,NZ,-46.6,168.3333,60.8,83,100,8.03
3137469,Sørland,NO,67.667,12.6934,39.06,59,92,12.24
3946985,Ayaviri,PE,-14.8864,-70.5889,44.4,70,100,1.43
5122534,Jamestown,US,42.097,-79.2353,41.7,87,1,3.44
1006984,East London,ZA,-33.0153,27.9116,63.18,95,100,10.69
162158,Baharly,TM,38.4362,57.4316,57.36,30,0,6.85
3424607,Tasiilaq,GL,65.6145,-37.6368,24.96,68,100,7.99
6167817,Torbay,CA,47.6666,-52.7314,44.26,85,54,9.57
3491161,Bull Savanna,JM,17.8868,-77.5902,73.47,85,94,4.21
2629833,Husavik,IS,66.0449,-17.3389,34.48,86,96,11.39
3893629,Coquimbo,CL,-29.9533,-71.3436,55.13,87,90,5.75
4032243,Vaini,TO,-21.2,-175.2,77.16,94,75,6.91
3671519,Puerto Carreño,CO,6.189,-67.4859,76.64,83,93,3.24
5855927,Hilo,US,19.7297,-155.09,70.81,86,90,5.75
2022572,Khatanga,RU,71.9667,102.5,-0.02,97,100,6.69
2092164,Lorengau,PG,-2.0226,147.2712,82.51,79,31,12.57
3883457,Lebu,CL,-37.6167,-73.65,51.31,95,41,9.48
2075265,Busselton,AU,-33.65,115.3333,62.04,62,92,18.84
3662927,Pauini,BR,-7.7136,-66.9764,70.66,96,96,1.41
2311127,Tshela,CD,-4.9833,12.9333,87.75,59,84,2.8
3833367,Ushuaia,AR,-54.8,-68.3,40.05,88,69,4.16
2016680,Shirokiy,RU,49.758,129.523,22.84,69,100,12.08
905789,Mpongwe,ZM,-13.5091,28.155,96.49,14,6,5.73
365763,Tonj,SS,7.2737,28.6822,97.27,32,41,3.53
3356832,Henties Bay,NA,-22.116,14.2845,63.86,64,8,14.88
3372707,Ribeira Grande,PT,38.5167,-28.7,70.2,94,75,19.57
6165406,Thompson,CA,55.7435,-97.8558,28.06,93,52,4.43
3664525,Codajás,BR,-3.8367,-62.0569,73.2,98,100,2.37
538049,Kuybyshevskiy Zaton,RU,55.1593,49.1701,41.58,79,100,19.46
4726521,San Patricio,US,28.017,-97.5169,62.83,78,0,5.32
5924351,Clyde River,CA,70.4692,-68.5914,9.81,87,30,11.25
890516,Gwanda,ZW,-20.9333,29.0,101.55,12,14,7.11
110690,Faya,SA,18.3851,42.4509,70.32,34,1,10.45
3373652,Oistins,BB,13.0667,-59.5333,78.89,78,20,13.8
2173323,Bundaberg,AU,-24.85,152.35,77.22,91,90,3.0
932987,Tsabong,BW,-26.0217,22.401,75.15,20,74,23.2
2360372,Gorom-Gorom,BF,14.4439,-0.2361,97.03,9,31,6.11
2173125,Burnie,AU,-41.0667,145.9167,54.16,68,4,10.76
259718,Glossa,GR,35.4717,23.7763,71.1,54,94,3.18
2281951,Sassandra,CI,4.95,-6.0833,84.36,70,58,2.73
6089245,Norman Wells,CA,65.282,-126.8329,4.05,94,100,6.87
3557689,Guantánamo,CU,20.1444,-75.2092,73.47,95,79,4.7
4031574,Provideniya,RU,64.3833,-173.3,12.43,93,68,6.64
1811200,Fengxian,CN,34.7039,116.5872,39.97,54,0,3.94
3831208,Qaanaaq,GL,77.484,-69.3632,1.06,64,10,7.87
2448083,Agadez,NE,19.75,10.25,86.7,9,42,3.29
4278890,Salina,US,38.8403,-97.6114,51.15,87,1,4.61
2059470,Victor Harbor,AU,-35.5667,138.6167,58.03,69,20,5.68
2270385,Camacha,PT,33.0833,-16.3333,65.61,60,40,10.36
1490256,Talnakh,RU,69.4865,88.3972,3.65,99,100,5.08
2126123,Chokurdakh,RU,70.6333,147.9167,-17.39,95,57,5.95
5880054,Barrow,US,71.2906,-156.7887,21.22,73,20,11.5
1052373,Beira,MZ,-19.8436,34.8389,86.09,66,20,16.11
3443061,Chui,UY,-33.6971,-53.4616,56.03,80,1,2.93
5357155,Hillsborough,US,37.5741,-122.3794,49.19,80,40,4.61
3868707,Valdivia,CL,-39.8142,-73.2459,50.09,100,41,2.08
1650319,Bangil,ID,-7.5994,112.8186,87.78,74,100,1.52
2015306,Tiksi,RU,71.6872,128.8694,15.17,77,100,21.97
3423146,Ilulissat,GL,69.2167,-51.1,12.22,48,0,6.91
4031637,Lavrentiya,RU,65.5833,-171.0,9.32,93,10,6.58
546105,Nikolskoye,RU,59.7035,30.7861,35.2,96,100,15.35
6078372,Moose Factory,CA,51.2585,-80.6094,42.69,92,100,3.98
5895424,Bay Roberts,CA,47.5999,-53.2648,43.09,89,55,3.0
2018735,Nyurba,RU,63.2842,118.3319,25.47,95,99,8.12
1507390,Dikson,RU,73.5069,80.5464,-2.38,100,82,6.8
361058,Alexandria,EG,31.2156,29.9553,78.76,51,21,10.89
4032369,Pangai,TO,-19.8,-174.35,77.85,85,100,16.96
134602,Fereydūnkenār,IR,36.6864,52.5225,59.9,61,0,3.89
2527087,Tiznit Province,MA,29.5833,-9.5,64.71,22,0,1.21
5866583,Saint Paul Harbor,US,57.79,-152.4072,31.93,89,100,12.24
1061335,Mananjary,MG,-21.2167,48.3333,82.44,65,57,11.43
2121385,Severo-Kuril'sk,RU,50.6789,156.125,36.39,65,90,24.45
2110227,Butaritari,KI,3.0707,172.7902,82.04,73,70,11.56
1863521,Gōtsuchō,JP,35.0,132.2167,61.99,96,100,15.99
1507116,Dudinka,RU,69.4058,86.1778,-4.67,100,91,3.83
3761194,Miraflores,MX,19.2167,-98.8083,45.25,89,22,2.21
3887344,Illapel,CL,-31.6308,-71.1653,60.46,62,0,1.3
3374210,São Filipe,CV,14.8961,-24.4956,77.85,73,95,8.61
3392095,Pimenteiras,BR,-6.2453,-41.4192,78.37,75,90,2.15
2381334,Atar,MR,20.5169,-13.0499,78.15,21,99,8.75
